lang,epoch,F1,precision,recall,accuracy
hrv,4,0.862,0.889,0.836,0.983
hrv,5,0.878,0.916,0.842,0.984
hrv,6,0.885,0.928,0.845,0.985
hrv,7,0.875,0.922,0.832,0.984
hrv,8,0.854,0.888,0.823,0.983
hrv,9,0.884,0.930,0.842,0.985
hrv,10,0.881,0.925,0.840,0.985
hrv,11,0.877,0.915,0.841,0.984
hrv,12,0.875,0.916,0.837,0.984
hrv,13,0.881,0.925,0.840,0.984
hrv,14,0.867,0.909,0.829,0.984
hrv,15,0.878,0.923,0.837,0.985
hrv,16,0.876,0.915,0.840,0.984
hrv,17,0.875,0.911,0.841,0.984
hrv,18,0.878,0.915,0.844,0.984
hrv,19,0.875,0.912,0.841,0.984
hrv,20,0.875,0.912,0.841,0.984
srb,1,0.874,0.900,0.849,0.981
srb,2,0.878,0.918,0.842,0.980
srb,3,0.882,0.922,0.846,0.983
srb,4,0.868,0.899,0.839,0.981
srb,5,0.881,0.920,0.845,0.982
srb,6,0.880,0.925,0.840,0.982
srb,7,0.886,0.937,0.840,0.983
srb,8,0.868,0.900,0.839,0.981
srb,9,0.884,0.928,0.844,0.983
srb,10,0.877,0.914,0.843,0.983
srb,11,0.879,0.916,0.845,0.982
srb,12,0.874,0.910,0.841,0.982
srb,13,0.875,0.918,0.835,0.981
srb,14,0.876,0.919,0.837,0.982
srb,15,0.881,0.924,0.842,0.982
srb,16,0.884,0.926,0.846,0.983
srb,17,0.884,0.920,0.850,0.983
srb,18,0.880,0.917,0.847,0.983
srb,19,0.881,0.919,0.847,0.983
srb,20,0.882,0.922,0.846,0.983
dan,1,0.860,0.850,0.870,0.989
dan,2,0.856,0.869,0.844,0.988
dan,3,0.873,0.889,0.857,0.989
dan,4,0.855,0.859,0.852,0.988
dan,5,0.848,0.863,0.834,0.988
dan,6,0.854,0.856,0.852,0.988
dan,7,0.856,0.879,0.834,0.988
dan,8,0.850,0.868,0.834,0.988
dan,9,0.845,0.856,0.834,0.988
dan,10,0.852,0.874,0.831,0.988
dan,11,0.854,0.866,0.842,0.988
dan,12,0.857,0.873,0.842,0.989
dan,13,0.852,0.868,0.836,0.988
dan,14,0.856,0.865,0.847,0.988
dan,15,0.848,0.873,0.823,0.988
dan,16,0.856,0.863,0.849,0.989
dan,17,0.863,0.868,0.857,0.989
dan,18,0.857,0.867,0.847,0.988
dan,19,0.859,0.870,0.849,0.988
dan,20,0.853,0.862,0.844,0.988
