test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
heb,7,0.579,0.566,0.592,0.957,dan,4
heb,8,0.59,0.554,0.631,0.956,dan,4
heb,9,0.584,0.564,0.606,0.959,dan,4
heb,10,0.59,0.562,0.622,0.957,dan,4
heb,11,0.586,0.564,0.61,0.958,dan,4
heb,12,0.592,0.574,0.61,0.957,dan,4
heb,13,0.592,0.572,0.613,0.958,dan,4
heb,14,0.594,0.569,0.622,0.957,dan,4
heb,15,0.595,0.571,0.622,0.958,dan,4
rom,1,0.726,0.689,0.768,0.98,dan,3
rom,2,0.731,0.681,0.788,0.979,dan,3
rom,3,0.701,0.662,0.745,0.977,dan,3
rom,4,0.642,0.595,0.697,0.976,dan,3
rom,5,0.626,0.592,0.664,0.973,dan,3
rom,6,0.591,0.594,0.587,0.968,dan,3
rom,7,0.644,0.639,0.649,0.973,dan,3
rom,8,0.651,0.634,0.67,0.975,dan,3
rom,9,0.633,0.627,0.638,0.973,dan,3
rom,10,0.636,0.619,0.653,0.972,dan,3
rom,11,0.6,0.591,0.609,0.97,dan,3
rom,12,0.61,0.6,0.62,0.971,dan,3
rom,13,0.615,0.608,0.622,0.971,dan,3
rom,14,0.625,0.615,0.635,0.972,dan,3
rom,15,0.624,0.615,0.633,0.971,dan,3
por,1,0.839,0.833,0.844,0.981,dan,3
por,2,0.844,0.829,0.861,0.983,dan,3
por,3,0.853,0.844,0.862,0.983,dan,3
por,4,0.843,0.829,0.857,0.983,dan,3
por,5,0.839,0.835,0.844,0.982,dan,3
por,6,0.834,0.847,0.822,0.981,dan,3
por,7,0.842,0.843,0.84,0.983,dan,3
por,8,0.851,0.847,0.855,0.983,dan,3
por,9,0.833,0.833,0.833,0.982,dan,3
por,10,0.843,0.842,0.844,0.982,dan,3
por,11,0.837,0.833,0.84,0.982,dan,3
por,12,0.842,0.845,0.839,0.982,dan,3
por,13,0.848,0.849,0.848,0.983,dan,3
por,14,0.851,0.851,0.851,0.983,dan,3
por,15,0.85,0.85,0.85,0.982,dan,3
ger,1,0.783,0.766,0.802,0.978,dan,1
ger,2,0.768,0.726,0.815,0.976,dan,1
ger,3,0.763,0.721,0.811,0.975,dan,1
ger,4,0.772,0.74,0.807,0.976,dan,1
ger,5,0.795,0.773,0.819,0.977,dan,1
ger,6,0.791,0.787,0.796,0.978,dan,1
ger,7,0.788,0.769,0.807,0.977,dan,1
ger,8,0.784,0.75,0.821,0.976,dan,1
ger,9,0.778,0.76,0.798,0.977,dan,1
ger,10,0.786,0.756,0.819,0.976,dan,1
ger,11,0.786,0.764,0.809,0.977,dan,1
ger,12,0.782,0.759,0.807,0.976,dan,1
ger,13,0.791,0.769,0.815,0.977,dan,1
ger,14,0.79,0.764,0.817,0.977,dan,1
ger,15,0.79,0.769,0.813,0.976,dan,1
chi,1,0.627,0.625,0.628,0.953,dan,5
chi,2,0.668,0.65,0.687,0.956,dan,5
chi,3,0.661,0.646,0.677,0.955,dan,5
chi,4,0.628,0.612,0.646,0.954,dan,5
chi,5,0.666,0.653,0.68,0.957,dan,5
chi,6,0.624,0.628,0.619,0.953,dan,5
chi,7,0.651,0.645,0.657,0.955,dan,5
chi,8,0.672,0.648,0.697,0.956,dan,5
chi,9,0.644,0.635,0.652,0.952,dan,5
chi,10,0.663,0.64,0.688,0.955,dan,5
chi,11,0.66,0.643,0.679,0.954,dan,5
chi,12,0.663,0.644,0.683,0.956,dan,5
chi,13,0.666,0.651,0.683,0.956,dan,5
chi,14,0.676,0.654,0.698,0.956,dan,5
chi,15,0.674,0.654,0.696,0.956,dan,5
hrv,1,0.866,0.837,0.898,0.987,dan,2
hrv,2,0.881,0.846,0.919,0.987,dan,2
hrv,3,0.885,0.854,0.917,0.987,dan,2
hrv,4,0.879,0.846,0.914,0.988,dan,2
