test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
srb,17,0.723,0.663,0.795,0.955,all,2
srb,18,0.724,0.663,0.797,0.955,all,2
srb,19,0.719,0.658,0.792,0.954,all,2
srb,20,0.725,0.663,0.8,0.955,all,2
dan,1,0.375,0.328,0.436,0.952,all,1
dan,2,0.494,0.425,0.59,0.956,all,1
dan,3,0.483,0.426,0.556,0.957,all,1
dan,4,0.501,0.44,0.582,0.958,all,1
dan,5,0.49,0.425,0.579,0.957,all,1
dan,6,0.489,0.434,0.561,0.957,all,1
dan,7,0.504,0.444,0.584,0.959,all,1
dan,8,0.499,0.441,0.574,0.958,all,1
dan,9,0.49,0.433,0.564,0.958,all,1
dan,10,0.493,0.434,0.571,0.958,all,1
dan,11,0.486,0.431,0.556,0.957,all,1
dan,12,0.488,0.431,0.561,0.957,all,1
dan,13,0.492,0.437,0.564,0.958,all,1
dan,14,0.499,0.438,0.579,0.959,all,1
dan,15,0.499,0.439,0.579,0.959,all,1
dan,16,0.495,0.437,0.571,0.959,all,1
dan,17,0.493,0.433,0.571,0.958,all,1
dan,18,0.498,0.439,0.577,0.959,all,1
dan,19,0.501,0.439,0.582,0.959,all,1
dan,20,0.497,0.437,0.577,0.958,all,1
slk,1,0.83,0.806,0.856,0.975,chi,2
slk,2,0.832,0.791,0.876,0.973,chi,2
slk,3,0.807,0.762,0.858,0.973,chi,2
slk,4,0.809,0.793,0.826,0.974,chi,2
slk,5,0.811,0.783,0.842,0.974,chi,2
slk,6,0.807,0.778,0.84,0.971,chi,2
slk,7,0.799,0.761,0.84,0.971,chi,2
slk,8,0.783,0.751,0.819,0.968,chi,2
slk,9,0.803,0.764,0.847,0.972,chi,2
slk,10,0.803,0.763,0.847,0.969,chi,2
slk,11,0.791,0.755,0.831,0.972,chi,2
slk,12,0.792,0.749,0.84,0.97,chi,2
slk,13,0.794,0.769,0.822,0.97,chi,2
slk,14,0.798,0.759,0.842,0.97,chi,2
slk,15,0.796,0.764,0.831,0.969,chi,2
slk,16,0.788,0.744,0.838,0.968,chi,2
slk,17,0.793,0.754,0.835,0.969,chi,2
slk,18,0.795,0.756,0.838,0.969,chi,2
slk,19,0.789,0.744,0.84,0.969,chi,2
slk,20,0.786,0.742,0.835,0.969,chi,2
eng,1,0.665,0.655,0.676,0.961,chi,1
eng,2,0.649,0.631,0.669,0.96,chi,1
eng,3,0.676,0.659,0.694,0.964,chi,1
eng,4,0.688,0.686,0.691,0.963,chi,1
